gRNA	HL60.initial
AFF4_m132272833	929
AFF4_m132272841	164
AFF4_m132272866	816
AFF4_p132272747	359
AFF4_p132272762	382
AFF4_p132272771	375
AFF4_p132272844	408
AFF4_p132272853	515
AFMID_m76183481	477
AFMID_m76183493	304
AFMID_m76187074	611
AFMID_m76187079	269
AFMID_p76183445	620
AFMID_p76183450	543
AFMID_p76183465	108
AFMID_p76183473	261
AFMID_p76187060	309
AFMID_p76187082	774
AFTPH_m64778617	283
AFTPH_m64778646	680
AFTPH_m64778724	34
AFTPH_m64778773	41
AFTPH_m64778841	508
AFTPH_m64778905	315
AFTPH_p64778649	1173
AFTPH_p64778713	1178
AFTPH_p64778754	578
AFTPH_p64778890	422
AGAP2_m58128438	556
AGAP2_m58128444	1673
AGAP2_m58128454	825
AGAP2_m58129187	624
AGAP2_m58129192	541
AGAP2_p58128423	287
AGAP2_p58129143	515
AGAP2_p58129148	519
AGAP2_p58129153	208
AGAP2_p58129171	346
AGAP3_m150784003	944
AGAP3_p150783818	264
AGAP3_p150783825	222
AGAP3_p150783857	904
AGAP3_p150783866	240
AGAP3_p150783903	472
AGAP3_p150783915	570
AGAP3_p150783972	249
AGAP3_p150784007	481
AGAP3_p150784015	331
AGBL5_m27275887	436
AGBL5_m27275950	241
AGBL5_m27275975	530
AGBL5_m27276001	425
AGBL5_m27276006	771
AGBL5_p27275820	288
AGBL5_p27275854	202
AGBL5_p27275870	466
AGBL5_p27275876	300
AGBL5_p27275898	754
AGFG1_m228337138	714
AGFG1_m228337178	374
AGFG1_m228337201	635
AGFG1_m228337208	457
AGFG1_m228337217	229
AGFG1_m228337248	669
AGFG1_m228337276	1621
AGFG1_p228337142	0
AGFG1_p228337168	454
AGFG1_p228337221	306
AGL_m100327112	777
AGL_m100327128	83
AGL_m100327135	151
AGL_m100327186	94
AGL_m100327263	516
AGL_p100327060	497
AGL_p100327074	413
AGL_p100327114	32
AGL_p100327219	134
AGL_p100327246	315
AGPAT3_m45379563	179
AGPAT3_m45379570	87
AGPAT3_m45379578	69
AGPAT3_m45379590	819
AGPAT3_m45379606	256
AGPAT3_p45379552	710
AGPAT3_p45379592	734
AGPAT3_p45379613	407
AGPAT3_p45379618	40
AGPAT3_p45379648	701
AGPAT5_m6566202	195
AGPAT5_m6566212	1668
AGPAT5_m6566223	782
AGPAT5_m6566233	2271
AGPAT5_m6566240	546
AGPAT5_m6566254	520
AGPAT5_m6566307	196
AGPAT5_p6566182	329
AGPAT5_p6566257	941
AGPAT5_p6566262	474
AGTPBP1_m88296213	531
AGTPBP1_m88296222	1138
AGTPBP1_m88307605	495
AGTPBP1_m88307687	1353
AGTPBP1_m88307696	0
AGTPBP1_p88296203	298
AGTPBP1_p88307644	206
AGTPBP1_p88307675	800
AGTPBP1_p88307700	107
AGTPBP1_p88307705	446
AHCTF1_m247067252	134
AHCTF1_m247068844	753
AHCTF1_m247068867	509
AHCTF1_m247068886	745
AHCTF1_m247068945	461
AHCTF1_m247070906	734
AHCTF1_m247070995	978
AHCTF1_m247094617	575
AHCTF1_p247076572	375
AHCTF1_p247079429	409
AHCY_m32883210	205
AHCY_m32883247	777
AHCY_m32883267	537
AHCY_m32883301	267
AHCY_m32883330	1367
AHCY_p32883227	729
AHCY_p32883238	42
AHCY_p32883253	443
AHCY_p32883304	1106
AHCY_p32883309	717
AHNAK2_m105423801	827
AHNAK2_m105423809	275
AHNAK2_m105423822	215
AHNAK2_m105423829	502
AHNAK2_m105423836	200
AHNAK2_m105444536	260
AHNAK2_m105444541	518
AHNAK2_m105444555	343
AHNAK2_p105423957	460
AHNAK2_p105423983	247
AHNAK_m62303488	272
AHNAK_m62303507	79
AHNAK_m62303523	122
AHNAK_m62303528	181
AHNAK_m62303548	591
AHNAK_m62303560	479
AHNAK_p62303470	258
AHNAK_p62303477	446
AHNAK_p62303510	322
