gRNA	HL60.final
ADCK1_p78285341	1394
ADCK1_p78285386	1076
ADCK1_p78285402	2063
ADCK1_p78285416	1550
ADCK2_m140373155	158
ADCK2_m140373168	710
ADCK2_m140373177	1181
ADCK2_m140373210	2377
ADCK2_m140373220	1346
ADCK2_m140373231	1868
ADCK2_p140373122	1206
ADCK2_p140373137	193
ADCK2_p140373158	1365
ADCK2_p140373194	2422
ADCK3_m227149096	688
ADCK3_m227149144	300
ADCK3_m227149153	2964
ADCK3_m227149163	2130
ADCK3_p227149079	2063
ADCK3_p227149104	3375
ADCK3_p227149124	1637
ADCK3_p227149133	1114
ADCK3_p227149155	4648
ADCK3_p227149165	1686
ADCK4_m41220243	2139
ADCK4_m41220249	3240
ADCK4_m41220284	2152
ADCK4_m41220291	1110
ADCK4_m41220465	1500
ADCK4_m41220474	4215
ADCK4_m41220523	1392
ADCK4_p41220276	873
ADCK4_p41220422	436
ADCK4_p41220480	3413
ADCK5_m145603095	1345
ADCK5_m145603137	1046
ADCK5_m145603170	1694
ADCK5_m145608301	2393
ADCK5_m145608343	2314
ADCK5_p145597774	1063
ADCK5_p145603106	3670
ADCK5_p145603142	2002
ADCK5_p145608305	597
ADCK5_p145608311	1942
ADCY1_m45614206	649
ADCY1_m45614243	769
ADCY1_m45614270	861
ADCY1_m45614323	1591
ADCY1_p45614127	2832
ADCY1_p45614255	1300
ADCY1_p45614284	589
ADCY1_p45614294	456
ADCY1_p45614309	279
ADCY1_p45614315	334
ADD1_m2877698	747
ADD1_m2877722	806
ADD1_m2877771	1293
ADD1_m2877776	855
ADD1_p2877627	797
ADD1_p2877644	1946
ADD1_p2877730	378
ADD1_p2877736	1220
ADD1_p2877743	1155
ADD1_p2877761	1696
ADD3_m111860427	1082
ADD3_m111860445	1646
ADD3_m111860450	2617
ADD3_m111860456	2002
ADD3_m111860540	2167
ADD3_p111860411	829
ADD3_p111860500	1798
ADD3_p111860505	984
ADD3_p111860545	1977
ADD3_p111860553	2512
ADH5_m100003154	416
ADH5_m100003254	1376
ADH5_m100006267	3313
ADH5_m100006354	2604
ADH5_m100009841	3324
ADH5_p100002504	1225
ADH5_p100002510	716
ADH5_p100002584	2178
ADH5_p100003219	71
ADH5_p100003224	542
ADH7_m100349694	1627
ADH7_m100350690	581
ADH7_m100350735	1228
ADH7_m100350762	2255
ADH7_p100349698	1576
ADH7_p100349706	272
ADH7_p100349757	814
ADH7_p100350692	649
ADH7_p100350718	363
ADH7_p100350724	712
ADI1_m3517677	359
ADI1_m3523156	1020
ADI1_m3523162	575
ADI1_m3523239	644
ADI1_m3523246	1984
ADI1_m3523251	3383
ADI1_p3517642	644
ADI1_p3517660	1496
ADI1_p3523164	1012
ADI1_p3523171	894
ADIRF_m88728302	491
ADIRF_m88728350	207
ADIRF_m88729968	984
ADIRF_p88728292	1745
ADIRF_p88728315	2047
ADIRF_p88728321	1087
ADIRF_p88729942	962
ADIRF_p88729951	437
ADIRF_p88729975	331
ADIRF_p88729984	1780
ADK_m75960552	2002
ADK_m75960590	463
ADK_m76153995	1035
ADK_m76154033	1387
ADK_p75960554	1168
ADK_p76074446	1036
ADK_p76074475	396
ADK_p76074481	404
ADK_p76153940	2118
ADK_p76154015	1421
ADNP2_m77891006	25
ADNP2_p77875445	891
ADNP2_p77875475	454
ADNP2_p77875482	761
ADNP2_p77875499	719
ADNP2_p77875511	1596
ADNP2_p77890985	1784
ADNP2_p77891013	833
ADNP2_p77891042	662
ADNP2_p77891053	536
ADNP_m49511043	767
ADNP_m49518579	2714
ADNP_m49518587	2908
ADNP_m49520451	1226
ADNP_m49520507	2266
ADNP_p49510837	534
ADNP_p49510899	3309
ADNP_p49510949	900
ADNP_p49511011	1039
ADNP_p49520498	1649
ADPRHL2_m36554512	1255
ADPRHL2_m36554557	1204
ADPRHL2_m36554563	1247
ADPRHL2_m36554576	2075
ADPRHL2_m36554620	388
ADPRHL2_p36554501	1071
ADPRHL2_p36554520	2176
ADPRHL2_p36554568	881
ADPRHL2_p36554580	1481
ADPRHL2_p36554606	84
ADRA1A_m26722399	597
ADRA1A_m26722428	108
ADRA1A_m26722434	1561
ADRA1A_m26722473	1172
ADRA1A_p26722329	2273
ADRA1A_p26722406	1002
ADRA1A_p26722412	1599
ADRA1A_p26722419	793
ADRA1A_p26722438	1152
ADRA1A_p26722465	1518
ADRA1B_m159343921	311
ADRA1B_m159343926	1834
ADRA1B_m159343934	1632
ADRA1B_m159343996	1458
ADRA1B_m159344001	1398
ADRA1B_m159344006	345
ADRA1B_m159344028	1475
ADRA1B_p159343905	70
ADRA1B_p159343912	1522
ADRA1B_p159343940	2012
ADRB1_m115803922	616
ADRB1_m115803930	716
ADRB1_m115803938	1530
ADRB1_m115803996	1119
ADRB1_m115804005	1255
ADRB1_m115804012	1733
ADRB1_m115804041	958
ADRB1_m115804047	611
ADRB1_p115803878	2027
ADRB1_p115803909	1120
ADRB2_m148206406	1573
ADRB2_m148206447	1395
ADRB2_p148206408	2455
ADRB2_p148206418	732
ADRB2_p148206432	939
ADRB2_p148206450	1514
ADRB2_p148206455	6329
ADRB2_p148206462	1751
ADRB2_p148206467	1030
ADRB2_p148206474	664
ADRB3_m37823829	1095
ADRB3_m37823842	0
ADRB3_m37823867	398
ADRB3_m37823894	3426
ADRB3_p37823813	837
ADRB3_p37823900	443
ADRB3_p37823908	1162
ADRB3_p37823913	833
ADRB3_p37823952	2409
ADRB3_p37823958	2208
ADRBK1_m67034181	3797
ADRBK1_m67034219	1538
ADRBK1_m67034242	2437
ADRBK1_m67034255	1179
ADRBK1_p67034160	1697
ADRBK1_p67034166	2522
ADRBK1_p67034172	2344
ADRBK1_p67034193	2599
ADRBK1_p67034199	2345
ADRBK1_p67034261	505
ADRBK2_m25961078	789
ADRBK2_m25961092	2086
ADRBK2_m25961108	1434
ADRBK2_m26000349	917
ADRBK2_m26000370	906
ADRBK2_m26057580	1917
ADRBK2_p25960997	1961
ADRBK2_p25961098	1717
ADRBK2_p26040592	410
ADRBK2_p26057601	2744
ADRM1_m60878634	690
ADRM1_m60878651	891
ADRM1_m60878679	2696
ADRM1_p60878615	280
ADRM1_p60878642	112
ADRM1_p60878671	488
ADRM1_p60878682	1256
ADRM1_p60878687	680
ADRM1_p60878704	576
ADRM1_p60878730	622
AEBP1_m44144289	2582
AEBP1_m44144302	786
AEBP1_m44144319	775
AEBP1_m44144326	2562
AEBP1_m44144338	1099
AEBP1_m44144355	1602
AEBP1_p44144293	1571
AEBP1_p44144306	1463
AEBP1_p44144347	1087
AEBP1_p44144359	916
AEBP2_m19615484	511
AEBP2_m19615553	1372
AEBP2_m19615572	1156
AEBP2_m19615578	1301
AEBP2_p19615440	1392
AEBP2_p19615465	252
AEBP2_p19615492	640
AEBP2_p19615498	990
AEBP2_p19615544	1167
AEBP2_p19615557	2226
AEN_m89169460	2182
AEN_m89169478	2392
AEN_m89169484	1547
AEN_m89169489	278
AEN_m89169495	1322
