gRNA	KBM7.final
ADRA1A_p26722465	394
ADRA1B_m159343921	193
ADRA1B_m159343926	1238
ADRA1B_m159343934	1313
ADRA1B_m159343996	1358
ADRA1B_m159344001	1182
ADRA1B_m159344006	760
ADRA1B_m159344028	1304
ADRA1B_p159343905	585
ADRA1B_p159343912	1899
ADRA1B_p159343940	2117
ADRB1_m115803922	620
ADRB1_m115803930	632
ADRB1_m115803938	2374
ADRB1_m115803996	700
ADRB1_m115804005	1108
ADRB1_m115804012	1233
ADRB1_m115804041	1752
ADRB1_m115804047	563
ADRB1_p115803878	1533
ADRB1_p115803909	1694
ADRB2_m148206406	1390
ADRB2_m148206447	1143
ADRB2_p148206408	1785
ADRB2_p148206418	632
ADRB2_p148206432	939
ADRB2_p148206450	932
ADRB2_p148206455	7676
ADRB2_p148206462	2621
ADRB2_p148206467	1397
ADRB2_p148206474	626
ADRB3_m37823829	887
ADRB3_m37823842	242
ADRB3_m37823867	767
ADRB3_m37823894	3963
ADRB3_p37823813	792
ADRB3_p37823900	359
ADRB3_p37823908	1331
ADRB3_p37823913	744
ADRB3_p37823952	2329
ADRB3_p37823958	2013
ADRBK1_m67034181	2735
ADRBK1_m67034219	1746
ADRBK1_m67034242	2655
ADRBK1_m67034255	2293
ADRBK1_p67034160	2000
ADRBK1_p67034166	2840
ADRBK1_p67034172	2162
ADRBK1_p67034193	2217
ADRBK1_p67034199	2230
ADRBK1_p67034261	1103
ADRBK2_m25961078	926
ADRBK2_m25961092	3062
ADRBK2_m25961108	1217
ADRBK2_m26000349	455
ADRBK2_m26000370	740
ADRBK2_m26057580	1560
ADRBK2_p25960997	1439
ADRBK2_p25961098	1821
ADRBK2_p26040592	1075
ADRBK2_p26057601	3634
ADRM1_m60878634	623
ADRM1_m60878651	915
ADRM1_m60878679	2532
ADRM1_p60878615	783
ADRM1_p60878642	789
ADRM1_p60878671	546
ADRM1_p60878682	1923
ADRM1_p60878687	90
ADRM1_p60878704	565
ADRM1_p60878730	1086
AEBP1_m44144289	3782
AEBP1_m44144302	1505
AEBP1_m44144319	1012
AEBP1_m44144326	2633
AEBP1_m44144338	513
AEBP1_m44144355	1473
AEBP1_p44144293	2284
AEBP1_p44144306	891
AEBP1_p44144347	1375
AEBP1_p44144359	1847
AEBP2_m19615484	716
AEBP2_m19615553	1392
AEBP2_m19615572	1354
AEBP2_m19615578	1044
AEBP2_p19615440	1934
AEBP2_p19615465	143
AEBP2_p19615492	1437
AEBP2_p19615498	1441
AEBP2_p19615544	1352
AEBP2_p19615557	1828
AEN_m89169460	1989
AEN_m89169478	572
AEN_m89169484	1436
AEN_m89169489	214
AEN_m89169495	685
AEN_m89169500	861
AEN_m89169507	1381
AEN_m89169544	689
AEN_p89169516	1738
AEN_p89169534	790
AES_m3056311	2030
AES_m3056337	2204
AES_m3057678	1776
AES_m3057717	2171
AES_m3061159	1251
AES_m3061215	1476
AES_p3056318	1467
AES_p3061179	695
AES_p3061186	806
AES_p3061195	339
AFAP1L2_m116092987	1705
AFAP1L2_m116093045	1342
AFAP1L2_m116100394	906
AFAP1L2_m116100466	934
AFAP1L2_p116092995	1489
AFAP1L2_p116100376	940
AFAP1L2_p116100409	2371
AFAP1L2_p116100418	1162
AFAP1L2_p116100433	378
AFAP1L2_p116164194	965
AFF1_m87967374	664
AFF1_m87967382	920
AFF1_m87967432	376
AFF1_m87967920	1106
AFF1_m87967978	1219
AFF1_p87967338	2027
AFF1_p87967353	2879
AFF1_p87967869	1568
AFF1_p87967890	2301
AFF1_p87967926	1397
AFF2_m147891407	1053
AFF2_m147891412	1264
AFF2_m147891420	320
AFF2_m147924509	201
AFF2_m147924918	4264
AFF2_m147924923	318
AFF2_m147967463	1929
AFF2_m147967470	2796
AFF2_p147891422	530
AFF2_p147967406	2168
AFF3_m100623802	324
AFF3_m100623914	388
AFF3_m100625275	902
AFF3_m100625319	1741
AFF3_m100625326	1101
AFF3_m100625363	533
AFF3_p100623773	1487
AFF3_p100623814	2285
AFF3_p100623867	1051
AFF3_p100623873	368
AFF4_m132272813	2157
AFF4_m132272826	3711
AFF4_m132272833	2189
AFF4_m132272841	1402
AFF4_m132272866	2605
AFF4_p132272747	579
AFF4_p132272762	1059
AFF4_p132272771	2643
AFF4_p132272844	2421
AFF4_p132272853	1598
AFMID_m76183481	1588
AFMID_m76183493	365
AFMID_m76187074	543
AFMID_m76187079	440
AFMID_p76183445	1754
AFMID_p76183450	1761
AFMID_p76183465	414
AFMID_p76183473	746
AFMID_p76187060	1222
AFMID_p76187082	1548
AFTPH_m64778617	65
AFTPH_m64778646	2559
AFTPH_m64778724	117
AFTPH_m64778773	335
AFTPH_m64778841	967
AFTPH_m64778905	1187
AFTPH_p64778649	2885
AFTPH_p64778713	1747
AFTPH_p64778754	1349
AFTPH_p64778890	1149
AGAP2_m58128438	1455
AGAP2_m58128444	3687
AGAP2_m58128454	1588
AGAP2_m58129187	1954
AGAP2_m58129192	662
AGAP2_p58128423	725
AGAP2_p58129143	456
AGAP2_p58129148	1154
AGAP2_p58129153	489
AGAP2_p58129171	2182
AGAP3_m150784003	1942
AGAP3_p150783818	1311
AGAP3_p150783825	1076
AGAP3_p150783857	2790
AGAP3_p150783866	750
AGAP3_p150783903	1565
AGAP3_p150783915	1737
AGAP3_p150783972	1305
AGAP3_p150784007	2561
AGAP3_p150784015	1284
AGBL5_m27275887	337
AGBL5_m27275950	482
AGBL5_m27275975	1582
AGBL5_m27276001	976
AGBL5_m27276006	1977
AGBL5_p27275820	746
AGBL5_p27275854	2155
AGBL5_p27275870	990
AGBL5_p27275876	799
AGBL5_p27275898	2331
AGFG1_m228337138	1557
AGFG1_m228337178	1529
AGFG1_m228337201	1334
AGFG1_m228337208	1340
AGFG1_m228337217	750
AGFG1_m228337248	587
AGFG1_m228337276	2620
AGFG1_p228337142	137
AGFG1_p228337168	1240
AGFG1_p228337221	1122
AGL_m100327112	2115
AGL_m100327128	640
AGL_m100327135	807
AGL_m100327186	232
AGL_m100327263	368
AGL_p100327060	675
AGL_p100327074	899
AGL_p100327114	54
AGL_p100327219	137
AGL_p100327246	626
AGPAT3_m45379563	288
AGPAT3_m45379570	281
AGPAT3_m45379578	395
AGPAT3_m45379590	1744
AGPAT3_m45379606	358
AGPAT3_p45379552	2263
AGPAT3_p45379592	439
AGPAT3_p45379613	481
AGPAT3_p45379618	1463
AGPAT3_p45379648	719
AGPAT5_m6566202	227
AGPAT5_m6566212	4278
AGPAT5_m6566223	2379
AGPAT5_m6566233	4135
AGPAT5_m6566240	1661
AGPAT5_m6566254	1373
AGPAT5_m6566307	188
AGPAT5_p6566182	1033
AGPAT5_p6566257	1921
AGPAT5_p6566262	1191
AGTPBP1_m88296213	2580
AGTPBP1_m88296222	2637
AGTPBP1_m88307605	824
AGTPBP1_m88307687	2760
AGTPBP1_m88307696	669
AGTPBP1_p88296203	1188
AGTPBP1_p88307644	608
AGTPBP1_p88307675	2138
AGTPBP1_p88307700	1054
AGTPBP1_p88307705	903
AHCTF1_m247067252	60
AHCTF1_m247068844	1411
AHCTF1_m247068867	835
AHCTF1_m247068886	638
AHCTF1_m247068945	1432
AHCTF1_m247070906	339
AHCTF1_m247070995	282
AHCTF1_m247094617	1120
AHCTF1_p247076572	1088
AHCTF1_p247079429	1318
AHCY_m32883210	240
AHCY_m32883247	176
AHCY_m32883267	1029
AHCY_m32883301	374
AHCY_m32883330	3387
AHCY_p32883227	611
AHCY_p32883238	791
AHCY_p32883253	33
AHCY_p32883304	3472
AHCY_p32883309	185
AHNAK2_m105423801	2698
AHNAK2_m105423809	1124
AHNAK2_m105423822	1162
AHNAK2_m105423829	704
AHNAK2_m105423836	1886
AHNAK2_m105444536	1064
AHNAK2_m105444541	1589
AHNAK2_m105444555	1290
AHNAK2_p105423957	1143
AHNAK2_p105423983	972
AHNAK_m62303488	1124
AHNAK_m62303507	34
AHNAK_m62303523	534
AHNAK_m62303528	1467
AHNAK_m62303548	573
AHNAK_m62303560	2630
AHNAK_p62303470	1743
AHNAK_p62303477	831
AHNAK_p62303510	862
AHNAK_p62303551	55
AHRR_m344006	841
AHRR_m344069	610
AHRR_m353878	110
AHRR_m353892	728
AHRR_m353898	720
AHRR_p344008	2626
