gRNA	KBM7.initial
ADRA1A_p26722438	526
ADRA1A_p26722465	280
ADRA1B_m159343921	138
ADRA1B_m159343926	462
ADRA1B_m159343934	676
ADRA1B_m159343996	295
ADRA1B_m159344001	174
ADRA1B_m159344006	125
ADRA1B_m159344028	297
ADRA1B_p159343905	165
ADRA1B_p159343912	825
ADRA1B_p159343940	705
ADRB1_m115803922	126
ADRB1_m115803930	124
ADRB1_m115803938	662
ADRB1_m115803996	290
ADRB1_m115804005	892
ADRB1_m115804012	1094
ADRB1_m115804041	646
ADRB1_m115804047	307
ADRB1_p115803878	647
ADRB1_p115803909	357
ADRB2_m148206406	485
ADRB2_m148206447	463
ADRB2_p148206408	425
ADRB2_p148206418	232
ADRB2_p148206432	630
ADRB2_p148206450	494
ADRB2_p148206455	2002
ADRB2_p148206462	529
ADRB2_p148206467	521
ADRB2_p148206474	249
ADRB3_m37823829	158
ADRB3_m37823842	0
ADRB3_m37823867	134
ADRB3_m37823894	1050
ADRB3_p37823813	396
ADRB3_p37823900	135
ADRB3_p37823908	225
ADRB3_p37823913	215
ADRB3_p37823952	821
ADRB3_p37823958	550
ADRBK1_m67034181	494
ADRBK1_m67034219	641
ADRBK1_m67034242	681
ADRBK1_m67034255	556
ADRBK1_p67034160	404
ADRBK1_p67034166	683
ADRBK1_p67034172	1011
ADRBK1_p67034193	469
ADRBK1_p67034199	427
ADRBK1_p67034261	357
ADRBK2_m25961078	236
ADRBK2_m25961092	544
ADRBK2_m25961108	221
ADRBK2_m26000349	217
ADRBK2_m26000370	243
ADRBK2_m26057580	459
ADRBK2_p25960997	242
ADRBK2_p25961098	463
ADRBK2_p26040592	342
ADRBK2_p26057601	947
ADRM1_m60878634	370
ADRM1_m60878651	373
ADRM1_m60878679	907
ADRM1_p60878615	474
ADRM1_p60878642	70
ADRM1_p60878671	76
ADRM1_p60878682	402
ADRM1_p60878687	180
ADRM1_p60878704	378
ADRM1_p60878730	358
AEBP1_m44144289	1186
AEBP1_m44144302	478
AEBP1_m44144319	505
AEBP1_m44144326	647
AEBP1_m44144338	198
AEBP1_m44144355	1109
AEBP1_p44144293	649
AEBP1_p44144306	532
AEBP1_p44144347	560
AEBP1_p44144359	496
AEBP2_m19615484	218
AEBP2_m19615553	301
AEBP2_m19615572	264
AEBP2_m19615578	378
AEBP2_p19615440	615
AEBP2_p19615465	242
AEBP2_p19615492	218
AEBP2_p19615498	511
AEBP2_p19615544	423
AEBP2_p19615557	484
AEN_m89169460	875
AEN_m89169478	749
AEN_m89169484	509
AEN_m89169489	0
AEN_m89169495	335
AEN_m89169500	320
AEN_m89169507	415
AEN_m89169544	387
AEN_p89169516	602
AEN_p89169534	600
AES_m3056311	347
AES_m3056337	690
AES_m3057678	446
AES_m3057717	578
AES_m3061159	371
AES_m3061215	510
AES_p3056318	371
AES_p3061179	175
AES_p3061186	150
AES_p3061195	200
AFAP1L2_m116092987	262
AFAP1L2_m116093045	477
AFAP1L2_m116100394	557
AFAP1L2_m116100466	244
AFAP1L2_p116092995	487
AFAP1L2_p116100376	289
AFAP1L2_p116100409	638
AFAP1L2_p116100418	204
AFAP1L2_p116100433	167
AFAP1L2_p116164194	206
AFF1_m87967374	108
AFF1_m87967382	196
AFF1_m87967432	339
AFF1_m87967920	918
AFF1_m87967978	206
AFF1_p87967338	361
AFF1_p87967353	822
AFF1_p87967869	702
AFF1_p87967890	567
AFF1_p87967926	580
AFF2_m147891407	211
AFF2_m147891412	282
AFF2_m147891420	69
AFF2_m147924509	46
AFF2_m147924918	640
AFF2_m147924923	185
AFF2_m147967463	513
AFF2_m147967470	720
AFF2_p147891422	353
AFF2_p147967406	592
AFF3_m100623802	108
AFF3_m100623914	122
AFF3_m100625275	134
AFF3_m100625319	440
AFF3_m100625326	254
AFF3_m100625363	429
AFF3_p100623773	1028
AFF3_p100623814	605
AFF3_p100623867	316
AFF3_p100623873	247
AFF4_m132272813	422
AFF4_m132272826	1234
AFF4_m132272833	1084
AFF4_m132272841	359
AFF4_m132272866	826
AFF4_p132272747	64
AFF4_p132272762	267
AFF4_p132272771	781
AFF4_p132272844	530
AFF4_p132272853	381
AFMID_m76183481	551
AFMID_m76183493	108
AFMID_m76187074	496
AFMID_m76187079	265
AFMID_p76183445	482
AFMID_p76183450	878
AFMID_p76183465	337
AFMID_p76183473	241
AFMID_p76187060	636
AFMID_p76187082	579
AFTPH_m64778617	165
AFTPH_m64778646	529
AFTPH_m64778724	72
AFTPH_m64778773	91
AFTPH_m64778841	257
AFTPH_m64778905	199
AFTPH_p64778649	845
AFTPH_p64778713	849
AFTPH_p64778754	485
AFTPH_p64778890	298
AGAP2_m58128438	505
AGAP2_m58128444	906
AGAP2_m58128454	649
AGAP2_m58129187	433
AGAP2_m58129192	409
AGAP2_p58128423	288
AGAP2_p58129143	282
AGAP2_p58129148	670
AGAP2_p58129153	115
AGAP2_p58129171	511
AGAP3_m150784003	631
AGAP3_p150783818	287
AGAP3_p150783825	358
AGAP3_p150783857	585
AGAP3_p150783866	132
AGAP3_p150783903	382
AGAP3_p150783915	405
AGAP3_p150783972	208
AGAP3_p150784007	358
AGAP3_p150784015	379
AGBL5_m27275887	339
AGBL5_m27275950	158
AGBL5_m27275975	525
AGBL5_m27276001	312
AGBL5_m27276006	785
AGBL5_p27275820	232
AGBL5_p27275854	467
AGBL5_p27275870	308
AGBL5_p27275876	355
AGBL5_p27275898	1109
AGFG1_m228337138	564
AGFG1_m228337178	575
AGFG1_m228337201	496
AGFG1_m228337208	440
AGFG1_m228337217	348
AGFG1_m228337248	378
AGFG1_m228337276	1273
AGFG1_p228337142	24
AGFG1_p228337168	376
AGFG1_p228337221	241
AGL_m100327112	539
AGL_m100327128	140
AGL_m100327135	67
AGL_m100327186	90
AGL_m100327263	261
AGL_p100327060	260
AGL_p100327074	555
AGL_p100327114	83
AGL_p100327219	162
AGL_p100327246	143
AGPAT3_m45379563	141
AGPAT3_m45379570	130
AGPAT3_m45379578	88
AGPAT3_m45379590	918
AGPAT3_m45379606	166
AGPAT3_p45379552	651
AGPAT3_p45379592	254
AGPAT3_p45379613	172
AGPAT3_p45379618	396
AGPAT3_p45379648	370
AGPAT5_m6566202	321
AGPAT5_m6566212	1381
AGPAT5_m6566223	1145
AGPAT5_m6566233	2181
AGPAT5_m6566240	898
AGPAT5_m6566254	268
AGPAT5_m6566307	141
AGPAT5_p6566182	233
AGPAT5_p6566257	738
AGPAT5_p6566262	274
AGTPBP1_m88296213	492
AGTPBP1_m88296222	509
AGTPBP1_m88307605	251
AGTPBP1_m88307687	700
AGTPBP1_m88307696	204
AGTPBP1_p88296203	192
AGTPBP1_p88307644	189
AGTPBP1_p88307675	646
AGTPBP1_p88307700	67
AGTPBP1_p88307705	253
AHCTF1_m247067252	170
AHCTF1_m247068844	595
AHCTF1_m247068867	275
AHCTF1_m247068886	497
AHCTF1_m247068945	178
AHCTF1_m247070906	906
AHCTF1_m247070995	617
AHCTF1_m247094617	372
AHCTF1_p247076572	417
AHCTF1_p247079429	507
AHCY_m32883210	370
AHCY_m32883247	619
AHCY_m32883267	378
AHCY_m32883301	232
AHCY_m32883330	1259
AHCY_p32883227	229
AHCY_p32883238	123
AHCY_p32883253	495
AHCY_p32883304	794
AHCY_p32883309	497
AHNAK2_m105423801	932
AHNAK2_m105423809	265
AHNAK2_m105423822	414
AHNAK2_m105423829	495
AHNAK2_m105423836	460
AHNAK2_m105444536	256
AHNAK2_m105444541	374
AHNAK2_m105444555	156
AHNAK2_p105423957	311
AHNAK2_p105423983	219
AHNAK_m62303488	284
AHNAK_m62303507	133
AHNAK_m62303523	168
AHNAK_m62303528	449
AHNAK_m62303548	552
AHNAK_m62303560	540
AHNAK_p62303470	412
AHNAK_p62303477	282
AHNAK_p62303510	254
AHNAK_p62303551	23
AHRR_m344006	92
AHRR_m344069	210
AHRR_m353878	47
AHRR_m353892	85
AHRR_m353898	96
AHRR_p344008	125
AHRR_p344030	503
AHRR_p344036	342
AHRR_p344042	296
AHRR_p353901	699
AHR_m17338889	651
AHR_m17338907	1589
AHR_m17338922	92
AHR_m17349569	620
AHR_m17349574	415
AHR_m17349599	217
AHR_p17338910	530
AHR_p17349560	649
AHR_p17349585	266
AHR_p17349613	630
AIF1_m31583902	486
AIF1_m31584119	373
AIF1_m31584132	957
AIF1_m31584164	225
AIF1_m31584175	0
AIF1_p31583885	464
AIF1_p31583891	296
AIF1_p31584124	696
AIF1_p31584134	236
AIF1_p31584178	99
AIFM1_m129299534	796
AIFM1_m129299540	883
AIFM1_m129299570	553
AIFM1_m129299604	400
AIFM1_m129299611	218
AIFM1_m129299616	312
AIFM1_m129299624	321
AIFM1_p129299543	69
AIFM1_p129299555	791
AIFM1_p129299590	0
AIFM3_m21322233	373
AIFM3_m21322251	277
AIFM3_m21322256	441
AIFM3_p21322217	426
AIFM3_p21322241	229
AIFM3_p21327593	339
AIFM3_p21327608	255
AIFM3_p21327615	529
AIFM3_p21327620	466
AIFM3_p21327632	848
AIM2_m159038473	470
AIM2_m159043029	650
AIM2_m159043231	473
AIM2_m159043249	1204
AIM2_m159043254	780
AIM2_m159043273	506
AIM2_p159038409	363
AIM2_p159038433	282
AIM2_p159038439	518
AIM2_p159043160	708
AIMP1_m107249252	376
AIMP1_m107249322	50
AIMP1_p107246177	45
AIMP1_p107246187	472
AIMP1_p107246195	531
AIMP1_p107248680	706
AIMP1_p107249260	362
AIMP1_p107249309	345
AIMP1_p107252880	46
AIMP1_p107252893	638
AIMP2_m6049078	379
AIMP2_m6049122	340
AIMP2_m6054790	500
AIMP2_m6054868	579
AIMP2_m6054873	280
AIMP2_m6054890	482
AIMP2_p6049089	862
AIMP2_p6054842	460
AIMP2_p6054880	406
AIMP2_p6054904	287
AIPL1_m6330313	241
AIPL1_m6330344	603
AIPL1_m6338338	222
AIPL1_m6338394	300
AIPL1_m6338399	796
AIPL1_p6330316	132
AIPL1_p6330334	592
AIPL1_p6330346	389
AIPL1_p6338329	328
AIPL1_p6338403	767
AIP_m67250694	109
AIP_m67250706	274
AIP_m67254480	423
AIP_m67254487	875
