sgRNA	Count
AKT3_122_51836	197
AKT3_126_51836	121
AKT3_129_155508	0
AKT3_134_259180	112
AKT3_150_103672	28
AKT3_172_155508	208
AKT3_195_0	8
AKT3_199_155508	49
AKT3_200_155508	252
AKT3_202_155508	32
AKT3_202_259180	8
AKT3_205_259180	13
AKT3_216_155508	156
AKT3_21_207344	95
ALDH18A1_0_36260	41
ALDH18A1_0_7252	0
ALDH18A1_101_14504	66
ALDH18A1_103_0	84
ALDH18A1_105_0	1101
ALDH18A1_105_7252	21
ALDH18A1_106_36260	200
ALDH18A1_107_0	29
ALDH18A1_108_14504	147
ALDH18A1_108_7252	15
ALDH18A1_109_14504	23
ALDH18A1_109_7252	0
ALDH18A1_10_29008	83
ALDH18A1_110_7252	139
ALDH18A1_111_7252	123
ALK_0_104125	160
ALK_1002_0	161
ALK_1003_0	25
ALK_1004_0	46
ALK_1005_0	199
ALK_1101_624750	92
ALK_1105_624750	34
ALK_1106_624750	0
ALK_1107_624750	75
ALK_1113_624750	282
ALK_1114_624750	84
ALK_1116_624750	181
ALK_1117_624750	151
ALK_1119_624750	59
ALK_1120_624750	504
ALK_1124_624750	108
ALPK1_0_134670	950
ALPK1_100_134670	39
ALPK1_101_112225	321
ALPK1_101_134670	58
ALPK1_102_134670	56
ALPK1_102_44890	48
ALPK1_105_112225	121
ALPK1_10_134670	112
ALPK1_110_134670	53
ALPK1_111_134670	58
ALPK1_114_0	103
ALPK1_116_112225	213
ALPK1_11_134670	28
ALPK1_12_134670	21
ALPK1_12_44890	57
ALPK2_110_84408	482
ALPK2_118_105510	0
ALPK2_118_126612	0
ALPK2_119_126612	6
ALPK2_11_42204	60
ALPK2_120_126612	226
ALPK2_121_126612	147
ALPK2_122_126612	39
ALPK2_123_126612	176
ALPK2_124_126612	0
ALPK2_125_126612	221
ALPK2_126_105510	55
ALPK2_133_105510	84
ALPK2_135_42204	7
ALPK2_13_21102	91
ALPK2_144_126612	40
ALPK3_100_40570	103
ALPK3_100_48684	27
ALPK3_101_40570	68
ALPK3_101_48684	78
ALPK3_102_40570	16
ALPK3_102_48684	19
ALPK3_103_32456	29
ALPK3_103_40570	103
ALPK3_103_48684	12
ALPK3_107_40570	113
ALPK3_108_40570	24
ALPK3_109_40570	25
ALPK3_110_40570	152
AMHR2_0_0	0
AMHR2_0_1097	58
AMHR2_0_2194	14
AMHR2_0_5485	8
AMHR2_0_6582	31
AMHR2_10_0	69
AMHR2_10_1097	281
AMHR2_10_3291	17
AMHR2_10_4388	99
AMHR2_11_1097	89
AMHR2_11_3291	82
AMHR2_11_4388	201
AMHR2_11_5485	81
ANGPT4_0_0	400
ANGPT4_0_12480	0
ANGPT4_100_18720	185
ANGPT4_101_0	6
ANGPT4_102_0	80
ANGPT4_102_12480	97
ANGPT4_103_12480	93
ANGPT4_103_6240	174
ANGPT4_109_31200	434
ANGPT4_110_0	167
ANGPT4_111_0	176
ANGPT4_112_0	78
ANGPT4_112_6240	574
ANGPT4_113_0	13
ANGPT4_113_6240	206
ANGPT4_114_0	385
ANKK1_0_0	1072
ANKK1_0_10818	133
ANKK1_0_7212	6
ANKK1_100_10818	272
ANKK1_10_0	515
ANKK1_10_10818	68
ANKK1_10_3606	186
ANKK1_10_5409	156
ANKK1_11_10818	6
ANKK1_11_5409	236
ANKK1_12_0	154
