sgRNA	Count
BAD_0_0	64
BAD_104_0	0
BAD_19_0	7
BAD_20_0	12
BAD_28_0	263
BAD_2_0	3
BAD_3_0	41
BAD_47_0	44
BAD_4_0	35
BAD_5_0	0
BAD_68_0	406
BAD_82_0	0
BAD_99_0	2
BAK1_13_1098	77
BAK1_15_1098	194
BAK1_16_1098	110
BAK1_17_2196	154
BAK1_18_1098	329
BAK1_29_1098	80
BAK1_30_1098	1
BAK1_37_1098	69
BAK1_39_1098	30
BAK1_43_1098	11
BAK1_44_1098	72
BAK1_46_1098	160
BAK1_7_1098	61
BAX_10_5982	488
BAX_11_5982	137
BAX_18_5982	186
BAX_36_5982	2466
BAX_3_5982	1325
BAX_44_5982	401
BAX_45_5982	1949
BAX_46_5982	294
BAX_47_5982	218
BAX_8_5982	209
BAX_9_5982	798
BBC3_0_0	21
BBC3_1_0	4
BBC3_25_0	165
BBC3_26_0	112
BBC3_2_0	103
BBC3_46_0	17
BBC3_47_0	0
BBC3_48_0	0
BBC3_60_0	100
BBC3_61_0	0
BBC3_62_0	18
BBC3_63_0	58
BBC3_64_0	9
BCKDK_0_1908	69
BCKDK_0_2862	16
BCKDK_0_3816	31
BCKDK_0_5724	280
BCKDK_10_0	0
BCKDK_10_1908	35
BCKDK_10_2862	8
BCKDK_10_3816	0
BCKDK_10_4770	21
BCKDK_10_5724	59
BCKDK_11_0	0
BCKDK_11_1908	12
BCKDK_11_2862	25
BCKDK_11_3816	44
BCKDK_11_4770	44
BCKDK_11_5724	12
BCL2A1_15_9048	13
BCL2A1_17_9048	16
BCL2A1_1_9048	50
BCL2A1_29_6032	243
BCL2A1_2_9048	33
BCL2A1_3_9048	42
BCL2A1_4_0	0
BCL2A1_5_9048	2067
BCL2A1_6_9048	139
BCL2A1_7_9048	206
BCL2A1_8_6032	64
BCL2A1_8_9048	9
BCL2L10_0_0	0
BCL2L10_0_501	0
BCL2L10_1_0	153
BCL2L10_1_501	18
BCL2L10_2_0	74
BCL2L10_3_0	0
BCL2L10_3_501	0
BCL2L10_4_0	25
BCL2L10_5_0	48
BCL2L10_6_0	0
BCL2L10_7_0	15
BCL2L10_8_0	48
BCL2L11_106_42054	0
BCL2L11_107_42054	10
BCL2L11_108_42054	106
BCL2L11_109_42054	23
BCL2L11_110_42054	30
BCL2L11_111_42054	145
BCL2L11_112_42054	8
BCL2L11_24_42054	273
BCL2L11_25_42054	0
BCL2L11_27_42054	85
BCL2L11_28_42054	29
BCL2L11_29_42054	116
BCL2L12_15_7152	32
BCL2L12_32_3576	15
BCL2L12_32_4768	62
BCL2L12_33_3576	36
BCL2L12_34_3576	264
BCL2L12_35_3576	27
BCL2L12_36_3576	183
BCL2L12_37_3576	32
BCL2L12_38_3576	148
BCL2L12_38_7152	53
BCL2L12_39_7152	75
BCL2L12_42_4768	244
BCL2L12_8_4768	49
BCL2L13_10_87228	79
BCL2L13_113_72690	78
BCL2L13_115_72690	122
BCL2L13_117_72690	5
BCL2L13_125_72690	98
BCL2L13_126_72690	0
BCL2L13_177_87228	71
BCL2L13_180_87228	306
BCL2L13_23_87228	36
BCL2L13_27_87228	0
BCL2L13_28_87228	24
BCL2L13_29_87228	27
BCL2L13_9_87228	275
BCL2L14_123_46068	28
BCL2L14_124_46068	2
BCL2L14_125_46068	30
BCL2L14_127_46068	9
BCL2L14_128_46068	76
BCL2L14_129_46068	0
BCL2L14_351_46068	0
BCL2L14_352_46068	0
BCL2L14_353_46068	0
BCL2L14_354_46068	58
BCL2L14_355_46068	50
BCL2L14_356_46068	96
BCL2L14_358_46068	301
BCL2L1_123_0	0
BCL2L1_129_0	219
BCL2L1_14_0	0
BCL2L1_161_0	10
BCL2L1_163_0	42
BCL2L1_164_0	0
BCL2L1_165_0	126
BCL2L1_1_0	239
BCL2L1_2_0	6
BCL2L1_326_0	660
BCL2L1_329_0	75
BCL2L1_3_0	7
BCL2L1_94_0	175
BCL2L2_16_7408	40
BCL2L2_19_7408	72
BCL2L2_21_7408	9
BCL2L2_22_7408	39
BCL2L2_28_3704	183
BCL2L2_30_5556	70
BCL2L2_33_5556	7
BCL2L2_39_3704	272
BCL2L2_55_7408	1
BCL2L2_56_3704	28
BCL2L2_72_7408	514
BCL2L2_73_7408	3
BCL2L2_81_7408	0
BCL2_265_0	30
BCL2_270_0	47
BCL2_273_0	18
BCL2_275_0	72
BCL2_276_0	63
BCL2_280_0	151
BCL2_285_0	235
BCL2_633_0	0
BCL2_636_0	35
BCL2_637_0	281
BCL2_640_0	100
BCL2_662_0	98
BCL2_663_0	44
BCL3_17_7048	30
BCL3_39_3524	136
BCL3_3_8810	18
BCL3_49_0	0
BCL3_49_3524	119
BCL3_51_3524	41
BCL3_54_0	65
BCL3_55_10572	91
BCL3_77_10572	6
BCL3_78_0	111
BCL3_90_10572	24
BCL6B_13_5190	2
BCL6B_15_5190	10
BCL6B_16_5190	31
BCL6B_18_5190	2
BCL6B_19_5190	569
BCL6B_1_5190	133
BCL6B_21_5190	22
BCL6B_25_4152	158
BCL6B_25_5190	0
BCL6B_26_5190	0
BCL6B_33_4152	79
BCL6B_4_5190	279
BCL6B_5_5190	0
BCL6_22_10434	4
BCL6_23_10434	83
BCL6_24_10434	0
BCL6_50_13912	2
BCL6_51_13912	88
BCL6_52_13912	2
BCL6_53_13912	12
BCL6_54_13912	9
BCL6_55_13912	76
BCL6_56_10434	11
BCL6_56_13912	76
BCL6_6_13912	0
BCL6_8_13912	546
