"DesignID"	"Readcount"
"ADAMTS1_0"	94
"ADAMTS1_1"	74
"ADAMTS1_2"	273
"ADAMTS10_0"	53
"ADAMTS10_1"	425
"ADAMTS10_2"	152
"ADAMTS10_3"	549
"ADAMTS12_0"	47
"ADAMTS12_1"	350
"ADAMTS12_2"	30
"ADAMTS12_3"	45
"ADAMTS12_4"	47
"ADAMTS13_0"	456
"ADAMTS13_1"	63
"ADAMTS13_2"	320
"ADAMTS14_0"	407
"ADAMTS14_1"	24
"ADAMTS14_2"	172
"ADAMTS14_3"	182
"ADAMTS15_0"	70
"ADAMTS15_1"	9
"ADAMTS15_2"	111
"ADAMTS16_0"	27
"ADAMTS16_1"	125
"ADAMTS17_0"	126
"ADAMTS17_1"	231
"ADAMTS17_2"	48
"ADAMTS17_3"	282
"ADAMTS18_0"	1
"ADAMTS18_1"	71
"ADAMTS18_2"	57
"ADAMTS19_0"	230
"ADAMTS19_1"	44
"ADAMTS2_0"	124
"ADAMTS2_1"	29
"ADAMTS2_2"	185
"ADAMTS2_3"	186
"ADAMTS20_0"	108
"ADAMTS20_1"	80
"ADAMTS20_2"	53
"ADAMTS3_0"	45
"ADAMTS3_1"	41
"ADAMTS3_2"	21
"ADAMTS3_3"	24
"ADAMTS4_0"	81
"ADAMTS4_1"	558
"ADAMTS4_2"	81
"ADAMTS4_3"	82
"ADAMTS4_4"	587
"ADAMTS4_5"	178
"ADAMTS5_0"	23
"ADAMTS5_1"	5
"ADAMTS5_2"	54
"ADAMTS5_3"	54
"ADAMTS6_0"	86
"ADAMTS6_1"	27
"ADAMTS6_2"	13
"ADAMTS7_0"	88
"ADAMTS7_1"	54
"ADAMTS7_2"	6
"ADAMTS8_0"	28
"ADAMTS8_1"	624
"ADAMTS8_2"	85
"ADAMTS8_3"	24
"ADAMTS9_0"	74
"ADAMTS9_1"	14
"ADAMTSL1_0"	96
"ADAMTSL1_1"	138
"ADAMTSL1_2"	108
"ADAMTSL1_3"	78
"ADAMTSL2_0"	46
"ADAMTSL2_1"	351
"ADAMTSL2_2"	84
"ADAMTSL3_0"	35
"ADAMTSL3_1"	54
"ADAMTSL3_2"	25
"ADAMTSL3_3"	45
"ADAMTSL4_0"	67
"ADAMTSL4_1"	295
"ADAMTSL4_2"	488
"ADAMTSL4_3"	145
"ADAMTSL4_4"	175
"ADAMTSL5_0"	8
"ADAMTSL5_1"	6
"ADAMTSL5_2"	328
"ADAP1_0"	9
"ADAP1_1"	147
"ADAP1_2"	22
"ADAP2_0"	44
"ADAP2_1"	18
"ADAR_0"	179
"ADAR_1"	16
"ADAR_2"	50
"ADAR_3"	28
"ADAR_4"	67
"ADAR_5"	313
"ADARB1_0"	325
"ADARB1_1"	86
"ADARB1_2"	386
"ADARB2_0"	120
"ADARB2_1"	11
"ADARB2_2"	95
"ADAT1_0"	210
"ADAT1_1"	47
"ADAT1_2"	162
"ADAT2_0"	76
"ADAT2_1"	8
"ADAT2_2"	254
"ADAT2_3"	11
"ADAT3_0"	62
"ADAT3_1"	17
"ADC_0"	55
"ADC_1"	305
"ADC_2"	28
"ADC_3"	47
"ADC_4"	163
"ADC_5"	37
"ADCK1_0"	266
"ADCK1_1"	256
"ADCK1_2"	304
"ADCK2_0"	135
"ADCK2_1"	14
"ADCK2_2"	19
"ADCK3_0"	139
"ADCK3_1"	6
"ADCK3_2"	86
"ADCK3_3"	373
"ADCK3_4"	91
"ADCK3_5"	75
"ADCK4_0"	3
"ADCK4_1"	49
"ADCK4_2"	471
"ADCK5_0"	66
"ADCK5_1"	4
"ADCK5_2"	87
